"referenceType","referenceId","domainOrGroup","english","preferredArabic","alternateArabic","direction","englishExactMatchCount","preferredArabicExactMatchCount","alternateArabicExactMatchCount","englishFiles","preferredArabicFiles","alternateArabicFiles","coverageStatus","notes"
"Status Label","STATUS-033","Permission State","Rejected","مرفوضة","","RTL","0","0","0","","","","No exact locale match found","Not approved; reason recorded."
"Status Label","STATUS-034","Permission State","Revoked","ملغاة","","RTL","0","1","0","","src/locales/ar.json","","Preferred Arabic found","Cancelled before natural expiration."
"Status Label","STATUS-035","Data Nature","Live","حية","","RTL","5","0","0","pro-test/src/locales/en.json;src/locales/en.json","","","English found; preferred Arabic not found","Current operational data under the provider’s definition."
"Status Label","STATUS-036","Data Nature","Delayed","متأخرة","","RTL","0","0","0","","","","No exact locale match found","Operational data with a known delay."
"Status Label","STATUS-037","Data Nature","Historical","تاريخية","","RTL","0","0","0","","","","No exact locale match found","Past-period data."
"Status Label","STATUS-038","Data Nature","Estimated","تقديرية","","RTL","0","0","0","","","","No exact locale match found","Derived or estimated rather than directly observed."
"Status Label","STATUS-039","Data Nature","Simulated","محاكاة","","RTL","0","0","0","","","","No exact locale match found","Test or demonstration data."
"Status Label","STATUS-040","Data Nature","Unavailable","غير متاحة","","RTL","4","0","0","src/locales/en.json","","","English found; preferred Arabic not found","No usable data is currently available."
"UI Label","UI-001","Primary Navigation","Home","الرئيسية","","RTL","0","1","0","","src/locales/ar.json","","Preferred Arabic found","Use only for the general landing/home surface."
"UI Label","UI-002","Primary Navigation","Operational Picture","المشهد التشغيلي","","RTL","0","0","0","","","","No exact locale match found","Primary operational workspace."
"UI Label","UI-003","Primary Navigation","Intelligence Map","الخريطة الاستخباراتية","","RTL","0","0","0","","","","No exact locale match found","Map-first intelligence workspace."
"UI Label","UI-004","Primary Navigation","News and Open Sources","الأخبار والمصادر المفتوحة","","RTL","0","0","0","","","","No exact locale match found","Evidence and media workspace."
"UI Label","UI-005","Primary Navigation","Analysis and Indicators","التحليل والمؤشرات","","RTL","0","0","0","","","","No exact locale match found","Analytical products and indicators."
"UI Label","UI-006","Primary Navigation","Alerts","التنبيهات","","RTL","1","1","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Operational alert centre."
"UI Label","UI-007","Primary Navigation","Briefs and Reports","الموجزات والتقارير","","RTL","0","0","0","","","","No exact locale match found","Approved intelligence products and exports."
"UI Label","UI-008","Primary Navigation","Sources and Data Quality","المصادر وجودة البيانات","","RTL","0","0","0","","","","No exact locale match found","Source governance and health."
"UI Label","UI-009","Primary Navigation","Settings","الإعدادات","","RTL","4","2","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","User and platform settings."
"UI Label","UI-010","Permission Interface","Explore Permissions","استكشف الصلاحيات","","RTL","0","0","0","","","","No exact locale match found","Employee permission catalogue."
"UI Label","UI-011","Permission Interface","My Requests","طلباتي","","RTL","0","0","0","","","","No exact locale match found","Request status and approval path."
"UI Label","UI-012","Permission Interface","My Active Permissions","صلاحياتي الحالية","","RTL","0","0","0","","","","No exact locale match found","Current grants, scope and duration."
"UI Label","UI-013","Permission Interface","Expiring Soon","الصلاحيات التي ستنتهي قريباً","","RTL","0","0","0","","","","No exact locale match found","Renewal workflow."
"UI Label","UI-014","Manager Interface","Team Permission Management","إدارة صلاحيات الفريق","","RTL","0","0","0","","","","No exact locale match found","Unified manager workspace."
"UI Label","UI-015","Manager Interface","Pending Approvals","طلبات بانتظار الاعتماد","","RTL","0","0","0","","","","No exact locale match found","Manager queue."
"UI Label","UI-016","Manager Interface","Team Matrix","مصفوفة الفريق","","RTL","0","0","0","","","","No exact locale match found","Employees in rows and permission groups in columns."
"UI Label","UI-017","Actions","View","مشاهدة","","RTL","1","0","0","src/locales/en.json","","","English found; preferred Arabic not found","Read-only access."
"UI Label","UI-018","Actions","Search","بحث","","RTL","1","2","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Search within authorized scope."
"UI Label","UI-019","Actions","Download","تنزيل","","RTL","0","0","0","","","","No exact locale match found","Export/download subject to access and licence."
"UI Label","UI-020","Actions","Add","إضافة","","RTL","2","0","0","src/locales/en.json","","","English found; preferred Arabic not found","Create a record or item."
"UI Label","UI-021","Actions","Edit","تعديل","","RTL","0","0","0","","","","No exact locale match found","Modify an existing item."
"UI Label","UI-022","Actions","Analyse","تحليل","","RTL","0","0","0","","","","No exact locale match found","Use analytical tools and add analysis."
"UI Label","UI-023","Actions","Review","مراجعة","","RTL","0","0","0","","","","No exact locale match found","Quality or governance review."
"UI Label","UI-024","Actions","Approve","اعتماد","","RTL","0","0","0","","","","No exact locale match found","Formal approval action."
"UI Label","UI-025","Actions","Publish","نشر","","RTL","0","1","0","","src/locales/ar.json","","Preferred Arabic found","Release to an approved audience."
"UI Label","UI-026","Actions","Administer","إدارة","","RTL","0","0","0","","","","No exact locale match found","Administrative control."
"UI Label","UI-027","Alert Actions","Acknowledge","إقرار بالاطلاع","","RTL","0","0","0","","","","No exact locale match found","Not equivalent to approval."
"UI Label","UI-028","Alert Actions","Save","حفظ","","RTL","2","2","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Save to user or team collection."
"UI Label","UI-029","Alert Actions","Assign","إسناد","","RTL","0","0","0","","","","No exact locale match found","Assign to a user or team."
"UI Label","UI-030","Alert Actions","Share","مشاركة","","RTL","1","0","0","src/locales/en.json","","","English found; preferred Arabic not found","Subject to access classification."
"UI Label","UI-031","Alert Actions","Archive","أرشفة","","RTL","0","0","0","","","","No exact locale match found","Retain history; do not delete."
"UI Label","UI-032","Context Drawer","Summary","الملخص","","RTL","0","0","0","","","","No exact locale match found","What happened, where, when and why it matters."
"UI Label","UI-033","Context Drawer","Active Signals","الإشارات النشطة","","RTL","0","0","0","","","","No exact locale match found","Current related signals."
"UI Label","UI-034","Context Drawer","Timeline","الخط الزمني","","RTL","1","0","0","src/locales/en.json","","","English found; preferred Arabic not found","Chronological evidence and changes."
"UI Label","UI-035","Context Drawer","Infrastructure","البنية التحتية","","RTL","2","1","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Affected and related assets."
"UI Label","UI-036","Context Drawer","News","الأخبار","","RTL","5","0","0","src/locales/en.json","","","English found; preferred Arabic not found","Relevant articles and reports."
"UI Label","UI-037","Context Drawer","Sources","المصادر","","RTL","2","2","0","src/locales/en.json","src/locales/ar.json","","Preferred Arabic found","Provenance, health and limitations."
"UI Label","UI-038","Context Drawer","Analysis","التحليل","","RTL","0","0","0","","","","No exact locale match found","Machine and analyst assessments."
"UI Label","UI-039","Context Drawer","Related Items","العناصر المرتبطة","","RTL","0","0","0","","","","No exact locale match found","Events, entities and assets."
