"tokenOrValue","tokenType","filePath","officialMappingStatus","rtlImpact","notes"
"#4935","Hex colour","convex/payments/billing.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4634","Hex colour","convex/payments/billing.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4946","Hex colour","convex/payments/billing.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4438","Hex colour","convex/payments/billing.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#111","Hex colour","convex/payments/billing.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#fff","Hex colour","convex/payments/billing.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4794","Hex colour","convex/payments/billing.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"-apple-system, BlinkMacSystemFont, 'Segoe UI', sans-serif","Font family declaration","convex/payments/businessSeats.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4634","Hex colour","convex/payments/businessSeats.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4635","Hex colour","convex/payments/businessSeats.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0a0a0a","Hex colour","convex/payments/businessSeats.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#e0e0e0","Hex colour","convex/payments/businessSeats.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#ef4444","Hex colour","convex/payments/businessSeats.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#fff","Hex colour","convex/payments/businessSeats.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#999","Hex colour","convex/payments/businessSeats.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#666","Hex colour","convex/payments/businessSeats.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4ade80","Hex colour","convex/payments/businessSeats.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"2px","Border radius","convex/payments/businessSeats.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3199","Hex colour","convex/payments/cacheActions.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4770","Hex colour","convex/payments/cacheActions.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4438","Hex colour","convex/payments/checkout.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#6027","Hex colour","convex/payments/checkout.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#6027","Hex colour","convex/payments/checkoutRateLimit.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"-apple-system, BlinkMacSystemFont, 'Segoe UI', sans-serif","Font family declaration","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"monospace","Font family declaration","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#111","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#1a1a1a","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#128273","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#fff","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#888","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#9889","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#129504","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#128232","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#129302","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#129513","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#128268","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#9728","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#65039","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#128236","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#128208","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#223","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#666","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4ade80","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0a0a0a","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#e0e0e0","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#999","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#444","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4932","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4935","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#f59e0b","Hex colour","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"50%","Border radius","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"2px","Border radius","convex/payments/subscriptionEmails.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4436","Hex colour","convex/payments/subscriptionHelpers.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4770","Hex colour","convex/payments/subscriptionHelpers.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3470","Hex colour","convex/payments/subscriptionHelpers.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3642","Hex colour","convex/payments/subscriptionHelpers.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#223","Hex colour","convex/payments/subscriptionHelpers.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4932","Hex colour","convex/payments/subscriptionHelpers.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4935","Hex colour","convex/payments/subscriptionHelpers.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4438","Hex colour","convex/payments/subscriptionHelpers.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4439","Hex colour","convex/payments/subscriptionHelpers.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4438","Hex colour","convex/payments/webhookMutations.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4439","Hex colour","convex/payments/webhookMutations.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#223","Hex colour","convex/registerInterest.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4438","Hex colour","convex/schema.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4439","Hex colour","convex/schema.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4922","Hex colour","convex/schema.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#223","Hex colour","convex/schema.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4932","Hex colour","convex/schema.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4770","Hex colour","convex/schema.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4935","Hex colour","convex/schema.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5621","Hex colour","convex/schema.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5600","Hex colour","convex/schema.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5582","Hex colour","convex/schema.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5617","Hex colour","convex/schema.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3199","Hex colour","convex/schema.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4634","Hex colour","convex/schema.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4635","Hex colour","convex/schema.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5694","Hex colour","convex/schema.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5743","Hex colour","convex/schema.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3466","Hex colour","convex/userPreferences.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--bg","CSS custom property","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--ink-text","CSS custom property","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--accent","CSS custom property","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--accent-muted","CSS custom property","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"'IBM Plex Mono', monospace","Font family declaration","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"'Source Serif 4', Georgia, serif","Font family declaration","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"'Playfair Display', serif","Font family declaration","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"'Source Serif 4', serif","Font family declaration","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#111","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#e8e8e8","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#888","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#2a2a2a","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#aaa","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#1a1a1a","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#f1e9d8","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#1a1612","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#8b3a1f","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0a0a0a","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#f2ede4","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#fafafa","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4ade80","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#1f7a3f","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#f5f5f3","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5d8b6a","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#7fc48f","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#666","Hex colour","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"3px","Border radius","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"2px","Border radius","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"4px","Border radius","docs/dev-artifacts/brief-palette-playground.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4373","Hex colour","e2e/a11y-landmarks-tablist.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5159","Hex colour","e2e/collapsed-map-first-paint.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5205","Hex colour","e2e/collapsed-map-first-paint.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5209","Hex colour","e2e/collapsed-map-first-paint.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4346","Hex colour","e2e/country-deep-dive-visibility.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4580","Hex colour","e2e/country-deep-dive-visibility.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5376","Hex colour","e2e/dashboard-news-request-budget.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5873","Hex colour","e2e/dashboard-news-request-budget.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3687","Hex colour","e2e/dashboard-news-request-budget.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5877","Hex colour","e2e/dashboard-news-request-budget.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5876","Hex colour","e2e/dashboard-news-request-budget.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"sans-serif"">","Font family declaration","e2e/embed.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5386","Hex colour","e2e/embed.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#f7f7f7","Hex colour","e2e/embed.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5504","Hex colour","e2e/giving-provenance.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5654","Hex colour","e2e/mcp-grant-consent.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5622","Hex colour","e2e/mcp-grant-consent.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5201","Hex colour","e2e/mobile-bottom-navigation.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5617","Hex colour","e2e/pro-activation.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5607","Hex colour","e2e/pro-activation.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5584","Hex colour","e2e/pro-activation.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5590","Hex colour","e2e/pro-activation.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5621","Hex colour","e2e/pro-activation.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5600","Hex colour","e2e/pro-activation.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5609","Hex colour","e2e/pro-activation.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5622","Hex colour","e2e/pro-activation.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#FAFAF5","Hex colour","e2e/theme-toggle.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#1A2332","Hex colour","e2e/theme-toggle.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#E8E4DC","Hex colour","e2e/theme-toggle.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#FFFFFF","Hex colour","e2e/theme-toggle.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#222E3E","Hex colour","e2e/theme-toggle.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#ff4444","Hex colour","e2e/widget-builder.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#fff","Hex colour","e2e/widget-builder.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#e0e0e0","Hex colour","e2e/widget-builder.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"10px","Border radius","e2e/widget-builder.spec.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0a0f0a","Hex colour","embed.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--wm-pro-banner-slot-height","CSS custom property","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--dashboard-panel-row-min","CSS custom property","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--dashboard-panel-row-max","CSS custom property","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--dashboard-grid-gap","CSS custom property","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"--dashboard-first-grid-reservation","CSS custom property","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"'SF Mono','Monaco','Cascadia Code','Fira Code','DejaVu Sans Mono','Liberation Mono',monospace","Font family declaration","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"'Nunito',system-ui,sans-serif}","Font family declaration","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0a0f0a","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4183","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0a0a0a","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#141414","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#2a2a2a","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#fff","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#d4d4d4","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#DDD9CF","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#222E3E","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#344050","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#e5e7eb","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#f9fafb","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#d1d5db","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4ade80","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#f5f5f5","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#2f8f68","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#9ca3af","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#181818","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#86efac","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#14532d","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#062317","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#1e1e1e","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0f5040","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#020a08","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0a2a20","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#f8fafc","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#1a1a1a","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#f8f9fa","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#111827","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4b5563","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#374151","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#f7f7f7","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#166534","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#dcfce7","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#f0f0f0","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#16a34a","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#e8f0f8","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#b0c8d8","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#e8e8e8","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#FAFAF5","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#FFFFFF","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#24301f","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#6B8F5E","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#64705d","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3f4f36","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#F2EFE8","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#2f612e","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#eef6e9","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#b9cda8","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#D4E6EC","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4f7f3f","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#EBE8E0","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#1A2332","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#F7FAF3","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#B9C4B0","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#E7EDE0","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#2A3848","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#C9F2B8","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#243A2D","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#456449","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#8BAF7A","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#16202E","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#2D4035","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#283545","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4580","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5159","Hex colour","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"50%","Border radius","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"4px","Border radius","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"0","Border radius","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"8px}","Border radius","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"14px}","Border radius","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"12px}","Border radius","index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#1a1c1e","Hex colour","live-channels.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#e8eaed","Hex colour","live-channels.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"ui-monospace,'SF Mono','Cascadia Code','JetBrains Mono',monospace","Font family declaration","mcp-grant.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"inherit","Font family declaration","mcp-grant.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#0a0a0a","Hex colour","mcp-grant.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#e8e8e8","Hex colour","mcp-grant.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#2d8a6e","Hex colour","mcp-grant.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#555","Hex colour","mcp-grant.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#111","Hex colour","mcp-grant.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#1e1e1e","Hex colour","mcp-grant.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#fff","Hex colour","mcp-grant.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#444","Hex colour","mcp-grant.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#666","Hex colour","mcp-grant.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#246d57","Hex colour","mcp-grant.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#ef4444","Hex colour","mcp-grant.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#2a2a2a","Hex colour","mcp-grant.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#333","Hex colour","mcp-grant.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"0}","Border radius","mcp-grant.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"50%","Border radius","mcp-grant.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#3248","Hex colour","middleware.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#4854","Hex colour","middleware.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"#5685","Hex colour","playwright.config.ts","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
"system-ui,sans-serif","Font family declaration","pro-test/index.html","Not yet mapped to approved UAE Design System token","Requires review","Static extraction only"
